row_id,dataset_label,included,reason_omission,patches_removed,notes
114,Lion_2016,1,NA,0,
115,Savilaakso_2009,1,NA,0,remove arbitrarily assigned 300 ha patch
116,Wang_2012,1,NA,0,
117,Kapoor_2008,1,NA,0,
119,Garmendia_2013,1,NA,0,
121,Fernandez_2013_a,1,NA,0,
2,Andresen_2003,0,impossible to compare HA,NA,
8,Benitez-Malvido_2016,0,impossible to compare HA,NA,data not at the patch level (treatments)
12,Bossart_2006,0,impossible to compare HA,NA,
13,Bossart_2016,0,impossible to compare HA,NA,
17,Cadotte_2002_a,0,impossible to compare HA,NA,
18,Cadotte_2002_b,0,impossible to compare HA,NA,
21,Chiarello_1999,0,impossible to compare HA,NA,two continuous forests (20.000 ha) are connected
22,Cosson_1999,0,impossible to compare HA,NA,data not at the patch level (treatments)
26,DeLaSancha_2014,0,impossible to compare HA,NA,could potentially be included if calculating a specific HA
27,Lima_1999_a,0,data not at the patch level (edges vs core),NA,
28,Lima_1999_b,0,data not at the patch level (edges vs core),NA,
29,DeSouza_1994,0,impossible to compare HA,NA,
31,Didham_1999,0,impossible to compare HA,NA,
32,Dixo_2009,0,impossible to compare HA,NA,data not at the patch level (treatments)
33,Dominguez-Haydar_2011,0,impossible to compare HA,NA,
34,Echeverria_2011,0,impossible to compare HA,NA,data not at the patch level (treatments)
36,Estrada_2002_a,0,impossible to compare HA,NA,data not at the patch level (treatments)
37,Estrada_2002_b,0,impossible to compare HA,NA,data not at the patch level (treatments)
39,Fonseca_1990,0,impossible to compare HA,NA,data not at the patch level (treatments)
49,Giraudo_2008,0,impossible to compare HA,NA,data not at the patch level (treatments)
50,Goncalves-Souza_2007,0,impossible to compare HA,NA,
51,Goodman_2000,0,impossible to compare HA,NA,
53,Halme_1993,0,impossible to compare HA,NA,data not at the patch level (treatments)
58,Klein_1989,0,impossible to compare HA,NA,data not at the patch level (treatments)
61,Lasky_2010,0,impossible to compare HA,NA,could potentially be included if calculating a specific HA
63,Lovei_2000,0,impossible to compare HA,NA,
67,McIntyre_1995,0,impossible to compare HA,NA,data not at the patch level (treatments)
72,Neuschulz_2011,0,impossible to compare HA,NA,data not at the patch level (treatments)
76,Nyelele_2014,0,impossible to compare HA,NA,data not at the patch level (treatments)
78,Paciencia_2005,0,impossible to compare HA,NA,data not at the patch level (treatments)
79,Pardini_2004,0,impossible to compare HA,NA,data not at the patch level (treatments)
82,Rocha_2016,0,impossible to compare HA,NA,
83,Sam_2014,0,impossible to compare HA,NA,
87,Silva_2016,0,impossible to compare HA,NA,data not at the patch level (treatments)
91,Storck-Tonon_2017,0,impossible to compare HA,NA,data not at the patch level (treatments)
93,Telleria_1995,0,impossible to compare HA,NA,data not at the patch level (treatments)
94,Tonhasca_2002,0,impossible to compare HA,NA,
95,Uehara-Prado_2007,0,impossible to compare HA,NA,data not at the patch level (treatments)
98,Vallan_2000,0,impossible to compare HA,NA,
99,Vieira_2009,0,impossible to compare HA,NA,data not at the patch level (treatments)
102,Zartman_2003,0,impossible to compare HA,NA,data not at the patch level (treatments)
103,Ziter_2013,0,impossible to compare HA,NA,data not at the patch level (treatments); area assigned based on average patch size in the paper
106,MacNally_2001,0,impossible to compare HA,NA,data not at the patch level (treatments)
118,Caceres_2010,0,impossible to compare HA,NA,
120,Stouffer_2011,0,impossible to compare HA,NA,data not at the patch level (treatments)
122,Fernandez_2013_b,0,impossible to compare HA,NA,
123,Ewers_2007,0,impossible to compare HA,NA,
